Województwo,Code,Gmina,Powiat,registered_voters,ballots_cast,valid_votes,JUREK Marek,KACZYŃSKI Jarosław Aleksander,KOMOROWSKI Bronisław Maria,KORWIN-MIKKE Janusz Ryszard,LEPPER Andrzej Zbigniew,MORAWIECKI Kornel Andrzej,NAPIERALSKI Grzegorz Bernard,OLECHOWSKI Andrzej Marian,PAWLAK Waldemar,ZIĘTEK Bogusław Zbigniew
dolnośląskie,20101,"Bolesławiec, m.",bolesławiecki,32998,18096,17974,170,4779,9005,477,121,33,2971,270,127,21
dolnośląskie,20102,"Bolesławiec, gm.",bolesławiecki,10370,5043,4999,21,1578,2304,122,91,18,729,62,70,4
dolnośląskie,20103,"Gromadka, gm.",bolesławiecki,4408,2180,2161,20,809,874,45,61,6,288,15,39,4
dolnośląskie,20104,"Nowogrodziec, gm.",bolesławiecki,11784,5193,5155,45,1732,2220,115,124,8,725,66,111,9
dolnośląskie,20105,"Osiecznica, gm.",bolesławiecki,5281,2523,2506,15,636,1201,65,43,4,469,39,33,1
dolnośląskie,20106,"Warta Bolesławiecka, gm.",bolesławiecki,6461,2860,2838,19,919,1251,44,63,1,467,29,40,5
dolnośląskie,20201,"Bielawa, m.",dzierżoniowski,26307,12902,12798,93,3565,6395,324,127,25,1992,166,77,34
dolnośląskie,20202,"Dzierżoniów, m.",dzierżoniowski,29172,15436,15330,131,4366,7699,391,124,16,2178,286,117,22
dolnośląskie,20203,"Pieszyce, m.",dzierżoniowski,7760,3515,3475,28,1173,1566,73,47,9,495,31,45,8
dolnośląskie,20204,"Piława Górna, m.",dzierżoniowski,5386,2547,2518,17,876,1070,54,44,4,365,47,36,5
dolnośląskie,20205,"Dzierżoniów, gm.",dzierżoniowski,7709,3735,3713,28,1407,1442,94,86,3,506,63,66,18
dolnośląskie,20206,"Łagiewniki, gm.",dzierżoniowski,6127,2811,2788,19,1028,1083,47,86,5,405,44,67,4
dolnośląskie,20207,"Niemcza, gm.",dzierżoniowski,4887,2328,2304,21,766,1073,38,31,8,309,30,21,7
dolnośląskie,20301,"Głogów, m.",głogowski,56181,32011,31775,245,11357,12393,736,280,40,5977,507,176,64
dolnośląskie,20302,"Głogów, gm.",głogowski,4651,2476,2461,16,1028,807,50,41,3,438,35,39,4
dolnośląskie,20303,"Jerzmanowa, gm.",głogowski,2913,1664,1648,12,664,530,25,35,2,339,19,21,1
dolnośląskie,20304,"Kotla, gm.",głogowski,3264,1453,1440,9,585,472,27,56,5,241,18,25,2
dolnośląskie,20305,"Pęcław, gm.",głogowski,1788,836,823,10,365,239,11,27,3,138,7,21,2
dolnośląskie,20306,"Żukowice, gm.",głogowski,2754,1216,1208,6,450,382,19,62,1,237,12,35,4
dolnośląskie,20401,"Góra, gm.",górowski,16502,7451,7411,54,2220,3348,166,140,8,1230,118,113,14
dolnośląskie,20402,"Jemielno, gm.",górowski,2478,1034,1017,6,358,350,11,32,2,213,4,39,2
dolnośląskie,20403,"Niechlów, gm.",górowski,3973,1732,1720,13,604,623,16,76,0,333,11,41,3
dolnośląskie,20404,"Wąsosz, gm.",górowski,5907,2431,2413,11,828,920,67,65,7,426,33,51,5
dolnośląskie,20501,"Jawor, m.",jaworski,20112,10482,10386,79,3592,4482,219,89,28,1653,147,82,15
dolnośląskie,20502,"Bolków, gm.",jaworski,8974,4086,4052,30,1162,1800,76,113,7,749,37,71,7
dolnośląskie,20503,"Męcinka, gm.",jaworski,3843,1695,1681,6,735,537,24,50,3,276,11,34,5
dolnośląskie,20504,"Mściwojów, gm.",jaworski,3261,1646,1633,15,530,617,32,59,2,312,13,49,4
dolnośląskie,20505,"Paszowice, gm.",jaworski,3132,1386,1375,18,519,512,19,40,4,209,22,30,2
dolnośląskie,20506,"Wądroże Wielkie, gm.",jaworski,3227,1367,1362,10,428,523,22,35,4,241,8,90,1
dolnośląskie,20601,"Karpacz, m.",jeleniogórski,4724,2776,2756,27,505,1685,67,10,6,374,46,25,11
dolnośląskie,20602,"Kowary, m.",jeleniogórski,9623,4919,4883,55,1051,2646,133,53,10,802,81,42,10
dolnośląskie,20603,"Piechowice, m.",jeleniogórski,5413,2875,2850,10,743,1524,68,38,5,376,55,25,6
dolnośląskie,20604,"Szklarska Poręba, m.",jeleniogórski,6227,3376,3347,27,794,1787,109,36,8,490,49,39,8
dolnośląskie,20605,"Janowice Wielkie, gm.",jeleniogórski,3563,1797,1771,12,423,958,45,21,3,255,33,19,2
dolnośląskie,20606,"Jeżów Sudecki, gm.",jeleniogórski,5262,2620,2605,19,657,1408,40,16,5,393,28,32,7
dolnośląskie,20607,"Mysłakowice, gm.",jeleniogórski,8096,3978,3945,27,1057,2069,82,50,9,541,47,54,9
dolnośląskie,20608,"Podgórzyn, gm.",jeleniogórski,6602,3321,3295,29,794,1817,65,38,3,455,49,36,9
dolnośląskie,20609,"Stara Kamienica, gm.",jeleniogórski,4238,2022,2005,10,548,1020,35,31,0,313,18,27,3
dolnośląskie,20701,"Kamienna Góra, m.",kamiennogórski,17231,8731,8645,58,2379,4318,164,81,5,1467,110,53,10
dolnośląskie,20702,"Kamienna Góra, gm.",kamiennogórski,6892,3436,3404,60,1012,1568,57,67,5,517,46,63,9
dolnośląskie,20703,"Lubawka, gm.",kamiennogórski,9342,4706,4649,30,1164,2373,56,91,9,813,53,57,3
dolnośląskie,20704,"Marciszów, gm.",kamiennogórski,3772,1771,1762,22,499,872,25,32,2,252,23,33,2
dolnośląskie,20801,"Duszniki-Zdrój, m.",kłodzki,4456,2376,2362,12,629,1188,61,15,2,391,38,21,5
dolnośląskie,20802,"Kłodzko, m.",kłodzki,23765,12483,12400,90,3592,6545,264,100,19,1490,158,121,21
dolnośląskie,20803,"Kudowa-Zdrój, m.",kłodzki,8854,4774,4744,39,1663,2206,101,26,5,577,71,46,10
dolnośląskie,20804,"Nowa Ruda, m.",kłodzki,20123,9641,9588,82,2352,5157,210,104,13,1473,126,56,15
dolnośląskie,20805,"Polanica-Zdrój, m.",kłodzki,6185,3401,3378,30,1049,1744,83,20,2,361,52,34,3
dolnośląskie,20806,"Bystrzyca Kłodzka, gm.",kłodzki,16365,7931,7880,77,2473,3711,144,134,16,1020,108,176,21
dolnośląskie,20807,"Kłodzko, gm.",kłodzki,13891,6426,6382,49,2119,2702,114,148,13,832,72,311,22
dolnośląskie,20808,"Lądek-Zdrój, gm.",kłodzki,7617,3801,3782,41,1121,1774,98,54,11,560,55,60,8
dolnośląskie,20809,"Lewin Kłodzki, gm.",kłodzki,1622,726,724,4,289,294,23,12,1,81,7,13,0
dolnośląskie,20810,"Międzylesie, gm.",kłodzki,6190,2899,2882,24,723,1518,65,84,8,388,21,41,10
dolnośląskie,20811,"Nowa Ruda, gm.",kłodzki,10102,4615,4593,25,1340,2215,94,75,7,694,60,73,10
dolnośląskie,20812,"Radków, gm.",kłodzki,7761,3551,3524,45,1234,1564,66,61,4,430,59,54,7
dolnośląskie,20813,"Stronie Śląskie, gm.",kłodzki,6165,2824,2799,16,617,1420,64,46,6,550,38,34,8
dolnośląskie,20814,"Szczytna, gm.",kłodzki,6117,2863,2843,21,736,1468,63,50,5,420,36,40,4
dolnośląskie,20901,"Chojnów, m.",legnicki,11662,5691,5657,30,1889,2464,160,55,7,927,71,43,11
dolnośląskie,20902,"Chojnów, gm.",legnicki,7479,3298,3275,36,1254,1174,47,119,8,475,41,112,9
dolnośląskie,20903,"Krotoszyce, gm.",legnicki,2427,1230,1221,7,525,431,15,34,3,160,12,32,2
dolnośląskie,20904,"Kunice, gm.",legnicki,4495,2494,2478,28,743,1140,40,65,6,378,39,36,3
dolnośląskie,20905,"Legnickie Pole, gm.",legnicki,3768,1895,1875,30,677,694,40,50,6,321,14,35,8
dolnośląskie,20906,"Miłkowice, gm.",legnicki,4997,2699,2678,31,924,1042,49,62,6,454,35,70,5
dolnośląskie,20907,"Prochowice, gm.",legnicki,5951,2824,2802,15,884,1217,46,73,3,465,43,52,4
dolnośląskie,20908,"Ruja, gm.",legnicki,2152,1019,1011,9,314,368,14,54,0,225,7,15,5
dolnośląskie,21001,"Lubań, m.",lubański,18889,9702,9651,46,2698,4796,190,99,13,1598,126,66,19
dolnośląskie,21002,"Świeradów-Zdrój, m.",lubański,3913,1915,1903,22,560,957,43,21,2,239,33,22,4
dolnośląskie,21003,"Leśna, gm.",lubański,8440,4009,3976,24,1094,1847,75,92,5,745,36,50,8
dolnośląskie,21004,"Lubań, gm.",lubański,5085,2363,2353,15,678,1039,44,93,2,381,30,66,5
dolnośląskie,21005,"Olszyna, gm.",lubański,5376,2397,2372,17,629,1120,36,34,8,441,41,40,6
dolnośląskie,21006,"Platerówka, gm.",lubański,1305,665,655,5,289,221,17,5,0,93,7,18,0
dolnośląskie,21007,"Siekierczyn, gm.",lubański,4102,2202,2175,17,668,971,35,69,6,349,18,38,4
dolnośląskie,21101,"Lubin, m.",lubiński,61450,33812,33685,187,13607,12213,871,239,72,5696,529,217,54
dolnośląskie,21102,"Lubin, gm.",lubiński,10003,5361,5314,24,2069,1890,132,86,7,949,82,72,3
dolnośląskie,21103,"Rudna, gm.",lubiński,5848,2909,2887,15,1272,761,45,79,0,602,46,64,3
dolnośląskie,21104,"Ścinawa, gm.",lubiński,8433,4175,4151,22,2004,1264,48,59,12,637,54,45,6
dolnośląskie,21201,"Gryfów Śląski, gm.",lwówecki,8346,3851,3823,30,1147,1746,95,64,4,622,53,56,6
dolnośląskie,21202,"Lubomierz, gm.",lwówecki,4948,2128,2108,22,627,984,42,70,2,276,26,55,4
dolnośląskie,21203,"Lwówek Śląski, gm.",lwówecki,14340,6922,6865,40,1896,3405,167,98,11,1030,102,100,16
dolnośląskie,21204,"Mirsk, gm.",lwówecki,7284,3256,3229,35,1060,1360,82,60,4,532,35,57,4
dolnośląskie,21205,"Wleń, gm.",lwówecki,3718,1757,1739,12,482,834,42,37,6,255,25,43,3
dolnośląskie,21301,"Cieszków, gm.",milicki,3697,1683,1665,13,546,576,47,60,1,323,24,74,1
dolnośląskie,21302,"Krośnice, gm.",milicki,6283,2857,2836,50,1088,1042,46,77,5,422,27,78,1
dolnośląskie,21303,"Milicz, gm.",milicki,19486,9326,9275,97,2998,3943,158,240,20,1516,118,174,11
dolnośląskie,21401,"Oleśnica, m.",oleśnicki,30053,17177,17099,111,5108,8191,525,120,38,2604,267,108,27
dolnośląskie,21402,"Bierutów, gm.",oleśnicki,8171,3672,3566,19,1213,1506,85,71,7,530,62,68,5
dolnośląskie,21403,"Dobroszyce, gm.",oleśnicki,4883,2308,2295,13,792,932,51,48,9,352,38,55,5
dolnośląskie,21404,"Dziadowa Kłoda, gm.",oleśnicki,3593,1554,1529,14,341,697,28,73,1,280,19,74,2
dolnośląskie,21405,"Międzybórz, gm.",oleśnicki,3947,1971,1951,14,440,968,27,49,3,376,28,45,1
dolnośląskie,21406,"Oleśnica, gm.",oleśnicki,9258,4107,4070,24,1404,1637,76,102,10,658,54,96,9
dolnośląskie,21407,"Syców, gm.",oleśnicki,13072,6823,6784,54,1867,3419,181,83,16,1001,82,71,10
dolnośląskie,21408,"Twardogóra, gm.",oleśnicki,10464,4933,4892,31,1431,2287,111,76,6,822,65,58,5
dolnośląskie,21501,"Oława, m.",oławski,25533,15042,14928,136,4760,7137,392,113,25,1968,275,96,26
dolnośląskie,21502,"Domaniów, gm.",oławski,4102,2041,2021,6,802,658,23,95,2,327,28,77,3
dolnośląskie,21503,"Jelcz-Laskowice, gm.",oławski,18008,9554,9497,95,3644,3840,262,118,17,1264,150,98,9
dolnośląskie,21504,"Oława, gm.",oławski,11279,5911,5864,43,2279,2290,128,109,10,809,94,83,19
dolnośląskie,21601,"Chocianów, gm.",polkowicki,10183,5408,5378,65,2467,1622,116,95,10,866,67,65,5
dolnośląskie,21602,"Gaworzyce, gm.",polkowicki,2979,1566,1554,12,650,489,27,57,2,264,15,35,3
dolnośląskie,21603,"Grębocice, gm.",polkowicki,4076,1832,1819,11,775,510,30,54,3,361,13,59,3
dolnośląskie,21604,"Polkowice, gm.",polkowicki,20476,11082,11011,104,4622,3618,224,97,12,2104,142,72,16
dolnośląskie,21605,"Przemków, gm.",polkowicki,7135,3269,3243,23,1356,1104,69,33,5,588,30,30,5
dolnośląskie,21606,"Radwanice, gm.",polkowicki,3558,1771,1760,4,668,555,28,56,4,376,18,46,5
dolnośląskie,21701,"Borów, gm.",strzeliński,4229,2243,2231,30,993,742,28,57,7,241,35,90,8
dolnośląskie,21702,"Kondratowice, gm.",strzeliński,3743,1700,1691,20,625,654,37,50,2,244,15,38,6
dolnośląskie,21703,"Przeworno, gm.",strzeliński,4131,1799,1780,8,683,652,20,85,1,248,21,58,4
dolnośląskie,21704,"Strzelin, gm.",strzeliński,18677,9784,9729,61,3027,4659,212,139,30,1315,128,128,30
dolnośląskie,21705,"Wiązów, gm.",strzeliński,5991,2685,2624,29,1242,835,42,73,4,304,28,59,8
dolnośląskie,21801,"Kostomłoty, gm.",średzki,5655,2476,2446,13,1002,864,46,72,7,354,22,62,4
dolnośląskie,21802,"Malczyce, gm.",średzki,4764,2114,2096,5,694,875,49,35,5,367,30,30,6
dolnośląskie,21803,"Miękinia, gm.",średzki,9929,5021,4982,55,1631,2406,136,77,18,535,57,62,5
dolnośląskie,21804,"Środa Śląska, gm.",średzki,15357,7300,7252,42,2257,3526,175,84,16,961,100,89,2
dolnośląskie,21805,"Udanin, gm.",średzki,4523,2048,2037,12,758,685,30,65,1,368,14,100,4
dolnośląskie,21901,"Świdnica, m.",świdnicki,49389,27968,27782,281,7796,13778,792,204,48,4185,454,179,65
dolnośląskie,21902,"Świebodzice, m.",świdnicki,18804,9339,9276,49,2604,4377,244,80,21,1678,138,64,21
dolnośląskie,21903,"Dobromierz, gm.",świdnicki,4445,2029,2010,14,847,707,28,53,3,309,20,27,2
dolnośląskie,21904,"Jaworzyna Śląska, gm.",świdnicki,8343,3829,3791,42,1391,1484,116,56,7,569,56,55,15
dolnośląskie,21905,"Marcinowice, gm.",świdnicki,5118,2504,2483,36,986,939,51,50,5,325,30,58,3
dolnośląskie,21906,"Strzegom, gm.",świdnicki,22055,11084,11000,75,3565,4922,311,160,17,1686,148,95,21
dolnośląskie,21907,"Świdnica, gm.",świdnicki,12773,6327,6290,39,2000,2751,131,135,15,1040,71,93,15
dolnośląskie,21908,"Żarów, gm.",świdnicki,10071,4965,4909,55,1699,2110,141,70,7,677,85,58,7
dolnośląskie,22001,"Oborniki Śląskie, gm.",trzebnicki,14909,8463,8406,72,2677,4378,212,99,26,764,111,57,10
dolnośląskie,22002,"Prusice, gm.",trzebnicki,7235,3226,3201,21,1226,1222,47,83,8,474,57,62,1
dolnośląskie,22003,"Trzebnica, gm.",trzebnicki,17820,9286,9212,86,3279,4097,229,98,16,1171,128,95,13
dolnośląskie,22004,"Wisznia Mała, gm.",trzebnicki,6923,3745,3713,20,1377,1674,94,60,6,390,50,38,4
dolnośląskie,22005,"Zawonia, gm.",trzebnicki,4426,1836,1823,16,585,805,33,47,1,264,23,49,0
dolnośląskie,22006,"Żmigród, gm.",trzebnicki,11854,5412,5369,27,1443,2569,108,119,10,863,89,130,11
dolnośląskie,22101,"Boguszów-Gorce, m.",wałbrzyski,13459,6427,6363,38,1469,3408,122,69,7,1110,83,50,7
dolnośląskie,22102,"Jedlina-Zdrój, m.",wałbrzyski,4138,2028,2003,20,524,1034,41,18,5,314,25,18,4
dolnośląskie,22103,"Szczawno-Zdrój, m.",wałbrzyski,4850,2908,2895,26,638,1623,69,24,6,421,53,29,6
dolnośląskie,22104,"Czarny Bór, gm.",wałbrzyski,3819,1991,1966,29,579,909,50,50,5,268,24,48,4
dolnośląskie,22105,"Głuszyca, gm.",wałbrzyski,7511,3528,3485,32,872,1889,64,41,7,483,48,43,6
dolnośląskie,22106,"Mieroszów, gm.",wałbrzyski,6056,2639,2609,16,602,1422,58,34,5,408,38,21,5
dolnośląskie,22107,"Stare Bogaczowice, gm.",wałbrzyski,3386,1645,1629,13,418,782,33,34,2,283,28,30,6
dolnośląskie,22108,"Walim, gm.",wałbrzyski,4754,2082,2062,14,600,971,54,32,4,328,24,31,4
dolnośląskie,22109,"Wałbrzych, m.",wałbrzyski,99121,49047,48662,306,11488,25388,1106,447,72,8693,777,285,100
dolnośląskie,22201,"Brzeg Dolny, gm.",wołowski,13173,6947,6893,47,1913,3547,199,65,11,937,115,43,16
dolnośląskie,22202,"Wińsko, gm.",wołowski,6987,3250,3218,38,1456,1041,48,86,7,440,25,73,4
dolnośląskie,22203,"Wołów, gm.",wołowski,19676,10094,10017,99,3178,4858,222,158,19,1207,131,131,14
dolnośląskie,22301,"Czernica, gm.",wrocławski,8063,5010,4965,69,1633,2293,146,41,16,580,102,81,4
dolnośląskie,22302,"Długołęka, gm.",wrocławski,17224,9781,9719,101,3681,4169,248,152,24,1044,164,123,13
dolnośląskie,22303,"Jordanów Śląski, gm.",wrocławski,2498,1225,1218,10,489,471,18,41,1,138,11,37,2
dolnośląskie,22304,"Kąty Wrocławskie, gm.",wrocławski,15419,8343,8260,84,2820,3870,219,90,29,939,118,86,5
dolnośląskie,22305,"Kobierzyce, gm.",wrocławski,11963,6616,6584,63,1937,3327,217,97,9,729,139,59,7
dolnośląskie,22306,"Mietków, gm.",wrocławski,3096,1553,1536,12,507,635,24,43,2,235,18,58,2
dolnośląskie,22307,"Sobótka, gm.",wrocławski,10076,5084,5049,30,1712,2269,138,85,6,624,82,93,10
dolnośląskie,22308,"Siechnice, gm.",wrocławski,12065,7236,7198,70,2405,3374,268,51,18,776,144,89,3
dolnośląskie,22309,"Żórawina, gm.",wrocławski,6930,3430,3400,34,1183,1517,91,54,7,396,36,80,2
dolnośląskie,22401,"Bardo, gm.",ząbkowicki,4550,2193,2178,22,691,942,37,40,4,368,24,42,8
dolnośląskie,22402,"Ciepłowody, gm.",ząbkowicki,2548,1034,1033,7,420,408,19,24,2,118,11,22,2
dolnośląskie,22403,"Kamieniec Ząbkowicki, gm.",ząbkowicki,7046,3479,3446,12,1097,1528,75,82,7,550,38,48,9
dolnośląskie,22404,"Stoszowice, gm.",ząbkowicki,4547,2009,1990,13,629,874,49,62,4,295,23,36,5
dolnośląskie,22405,"Ząbkowice Śląskie, gm.",ząbkowicki,18744,9627,9555,80,3034,4554,170,148,23,1278,106,147,15
dolnośląskie,22406,"Ziębice, gm.",ząbkowicki,14810,6700,6636,27,2200,2925,121,184,6,911,74,175,13
dolnośląskie,22407,"Złoty Stok, gm.",ząbkowicki,3944,1916,1899,24,611,817,59,38,9,295,20,23,3
dolnośląskie,22501,"Zawidów, m.",zgorzelecki,3515,1761,1743,19,580,788,47,14,4,257,25,7,2
dolnośląskie,22502,"Zgorzelec, m.",zgorzelecki,26942,14929,14839,87,4299,7336,347,104,17,2307,235,88,19
dolnośląskie,22503,"Bogatynia, gm.",zgorzelecki,19950,10150,10040,49,3394,4113,232,103,11,1843,170,105,20
dolnośląskie,22504,"Pieńsk, gm.",zgorzelecki,7417,3196,3174,23,806,1535,65,64,8,597,34,35,7
dolnośląskie,22505,"Sulików, gm.",zgorzelecki,4849,2291,2261,24,882,865,58,42,2,324,24,38,2
dolnośląskie,22506,"Węgliniec, gm.",zgorzelecki,7142,3336,3306,28,863,1734,74,43,6,463,51,41,3
dolnośląskie,22507,"Zgorzelec, gm.",zgorzelecki,6424,2967,2940,35,930,1275,56,59,5,479,50,44,7
dolnośląskie,22601,"Wojcieszów, m.",złotoryjski,3134,1369,1353,7,331,706,33,31,0,215,18,11,1
dolnośląskie,22602,"Złotoryja, m.",złotoryjski,13502,7268,7238,40,2115,3486,185,71,16,1177,103,38,7
dolnośląskie,22603,"Pielgrzymka, gm.",złotoryjski,3687,1752,1738,14,628,692,39,43,1,253,20,48,0
dolnośląskie,22604,"Świerzawa, gm.",złotoryjski,6346,2822,2810,17,849,1271,65,77,6,446,22,56,1
dolnośląskie,22605,"Zagrodno, gm.",złotoryjski,4517,2064,2036,12,921,634,30,59,5,301,17,53,4
dolnośląskie,22606,"Złotoryja, gm.",złotoryjski,5623,2652,2641,8,955,1058,36,68,8,421,31,55,1
dolnośląskie,26101,"Jelenia Góra, m.",Jelenia Góra,69146,39513,39234,238,10104,20804,1019,247,43,5770,661,293,55
dolnośląskie,26201,"Legnica, m.",Legnica,81567,44954,44706,334,14111,20276,1174,310,100,7372,683,286,60
dolnośląskie,26401,"Wrocław, m.",Wrocław,508576,318603,316487,2875,91559,165308,11263,1388,1209,34101,6566,1721,497
kujawsko-pomorskie,40101,"Aleksandrów Kujawski, m.",aleksandrowski,10157,5296,5245,14,1439,2497,105,64,18,985,66,41,16
kujawsko-pomorskie,40102,"Ciechocinek, m.",aleksandrowski,10540,7037,6992,33,2318,3385,156,35,2,911,80,67,5
kujawsko-pomorskie,40103,"Nieszawa, m.",aleksandrowski,1668,918,896,7,254,345,29,20,2,203,11,23,2
kujawsko-pomorskie,40104,"Aleksandrów Kujawski, gm.",aleksandrowski,8612,3773,3736,23,1355,1330,49,94,6,709,49,114,7
kujawsko-pomorskie,40105,"Bądkowo, gm.",aleksandrowski,3658,1652,1633,2,550,420,17,125,2,407,14,92,4
kujawsko-pomorskie,40106,"Koneck, gm.",aleksandrowski,2701,1162,1156,1,466,294,6,67,1,256,8,57,0
kujawsko-pomorskie,40107,"Raciążek, gm.",aleksandrowski,2492,1265,1251,6,426,507,17,36,7,214,11,23,4
kujawsko-pomorskie,40108,"Waganiec, gm.",aleksandrowski,3538,1607,1586,10,665,444,21,56,1,323,11,49,6
kujawsko-pomorskie,40109,"Zakrzewo, gm.",aleksandrowski,2969,1366,1350,10,428,425,21,82,4,294,9,75,2
kujawsko-pomorskie,40201,"Brodnica, m.",brodnicki,21651,11764,11633,77,3653,5371,200,99,13,1904,145,157,14
kujawsko-pomorskie,40202,"Bobrowo, gm.",brodnicki,5002,2180,2165,12,786,771,17,84,5,333,16,138,3
kujawsko-pomorskie,40203,"Brodnica, gm.",brodnicki,5493,2509,2490,19,840,939,35,61,1,459,23,113,0
kujawsko-pomorskie,40204,"Brzozie, gm.",brodnicki,2857,1422,1413,4,617,441,8,69,3,201,12,56,2
kujawsko-pomorskie,40205,"Górzno, gm.",brodnicki,3195,1523,1505,7,640,445,24,76,4,193,12,103,1
kujawsko-pomorskie,40206,"Bartniczka, gm.",brodnicki,3623,1684,1671,12,694,510,17,65,2,239,19,110,3
kujawsko-pomorskie,40207,"Jabłonowo Pomorskie, gm.",brodnicki,7155,3335,3309,32,1122,1226,39,131,3,548,29,172,7
kujawsko-pomorskie,40208,"Osiek, gm.",brodnicki,3208,1458,1444,3,646,380,21,47,1,254,7,84,1
kujawsko-pomorskie,40209,"Świedziebnia, gm.",brodnicki,4010,1786,1771,21,770,370,22,70,2,246,8,261,1
kujawsko-pomorskie,40210,"Zbiczno, gm.",brodnicki,3766,1839,1824,12,536,782,34,62,1,302,18,73,4
kujawsko-pomorskie,40301,"Białe Błota, gm.",bydgoski,12381,7418,7380,41,1803,3812,211,64,12,1237,128,55,17
kujawsko-pomorskie,40302,"Dąbrowa Chełmińska, gm.",bydgoski,5814,2733,2713,34,663,1222,72,68,2,527,57,63,5
kujawsko-pomorskie,40303,"Dobrcz, gm.",bydgoski,7659,3921,3896,28,1085,1720,88,137,5,663,73,95,2
kujawsko-pomorskie,40304,"Koronowo, gm.",bydgoski,19310,9476,9407,79,2340,4486,185,232,19,1697,116,242,11
kujawsko-pomorskie,40305,"Nowa Wieś Wielka, gm.",bydgoski,6810,3366,3345,16,845,1602,85,40,9,635,59,49,5
kujawsko-pomorskie,40306,"Osielsko, gm.",bydgoski,8050,5136,5119,48,1143,2865,157,23,7,688,125,56,7
kujawsko-pomorskie,40307,"Sicienko, gm.",bydgoski,7320,3893,3857,20,909,1911,93,107,10,651,52,99,5
kujawsko-pomorskie,40308,"Solec Kujawski, gm.",bydgoski,12701,7039,6992,29,1750,3589,195,65,7,1154,110,75,18
kujawsko-pomorskie,40401,"Chełmno, m.",chełmiński,16148,8205,8102,45,2025,4081,249,69,18,1414,105,78,18
kujawsko-pomorskie,40402,"Chełmno, gm.",chełmiński,4087,1617,1604,11,436,684,37,61,2,276,19,75,3
kujawsko-pomorskie,40403,"Kijewo Królewskie, gm.",chełmiński,3424,1637,1626,14,506,620,20,49,1,336,9,69,2
kujawsko-pomorskie,40404,"Lisewo, gm.",chełmiński,4033,1627,1619,17,451,632,31,55,0,316,31,85,1
kujawsko-pomorskie,40405,"Papowo Biskupie, gm.",chełmiński,3437,1412,1398,11,386,608,23,54,4,244,12,51,5
kujawsko-pomorskie,40406,"Stolno, gm.",chełmiński,3975,1559,1547,8,491,579,23,75,2,290,21,55,3
kujawsko-pomorskie,40407,"Unisław, gm.",chełmiński,5366,2541,2521,27,738,1108,54,70,4,413,37,59,11
kujawsko-pomorskie,40501,"Golub-Dobrzyń, m.",golubsko-dobrzyński,10098,5112,5081,46,1693,2208,95,70,9,872,46,39,3
kujawsko-pomorskie,40502,"Ciechocin, gm.",golubsko-dobrzyński,3045,1434,1426,7,640,418,13,45,1,202,9,91,0
kujawsko-pomorskie,40503,"Golub-Dobrzyń, gm.",golubsko-dobrzyński,6545,2840,2819,25,1024,940,36,140,5,514,19,115,1
kujawsko-pomorskie,40504,"Kowalewo Pomorskie, gm.",golubsko-dobrzyński,8911,4212,4177,23,1386,1638,71,142,7,707,31,162,10
kujawsko-pomorskie,40505,"Radomin, gm.",golubsko-dobrzyński,3250,1489,1482,13,651,326,17,90,0,278,11,94,2
kujawsko-pomorskie,40506,"Zbójno, gm.",golubsko-dobrzyński,3459,1425,1416,8,571,378,13,108,2,242,9,80,5
kujawsko-pomorskie,40601,"Grudziądz, gm.",grudziądzki,8745,4022,3994,40,1081,1790,58,110,4,677,65,156,13
kujawsko-pomorskie,40602,"Gruta, gm.",grudziądzki,5174,2421,2392,17,733,939,40,88,1,438,31,100,5
kujawsko-pomorskie,40603,"Łasin, gm.",grudziądzki,6544,2926,2914,18,830,1281,39,115,5,481,20,118,7
kujawsko-pomorskie,40604,"Radzyń Chełmiński, gm.",grudziądzki,3790,1617,1606,17,526,592,24,66,0,304,8,65,4
kujawsko-pomorskie,40605,"Rogóźno, gm.",grudziądzki,3207,1351,1337,12,449,449,19,55,2,270,20,60,1
kujawsko-pomorskie,40606,"Świecie nad Osą, gm.",grudziądzki,3372,1304,1264,6,390,530,14,64,4,207,10,36,3
kujawsko-pomorskie,40701,"Inowrocław, m.",inowrocławski,62559,35208,34944,165,8246,17336,646,286,46,7429,447,284,59
kujawsko-pomorskie,40702,"Dąbrowa Biskupia, gm.",inowrocławski,4094,1737,1723,12,562,590,16,88,1,335,22,94,3
kujawsko-pomorskie,40703,"Gniewkowo, gm.",inowrocławski,11661,5428,5395,37,1446,2400,90,119,6,1116,66,105,10
kujawsko-pomorskie,40704,"Inowrocław, gm.",inowrocławski,8924,4092,4059,29,1163,1615,67,113,10,844,46,160,12
kujawsko-pomorskie,40705,"Janikowo, gm.",inowrocławski,10922,5417,5372,25,1409,2418,81,89,12,1107,60,159,12
kujawsko-pomorskie,40706,"Kruszwica, gm.",inowrocławski,16156,7692,7647,55,2325,2981,113,179,14,1618,69,272,21
kujawsko-pomorskie,40707,"Pakość, gm.",inowrocławski,7981,3787,3766,38,946,1723,86,87,3,718,57,94,14
kujawsko-pomorskie,40708,"Rojewo, gm.",inowrocławski,3629,1674,1660,16,580,523,17,81,5,315,19,98,6
kujawsko-pomorskie,40709,"Złotniki Kujawskie, gm.",inowrocławski,7243,3513,3480,13,929,1393,56,119,3,777,46,136,8
kujawsko-pomorskie,40801,"Lipno, m.",lipnowski,11739,5659,5613,28,1986,2430,86,67,4,862,81,59,10
