Code,Gmina,Voivodeship,registered_voters,ballots_cast,valid_votes,duda,komorowski
080504,gm. Rzepin,lubuskie,7745,3616,3587,1478,2109
080505,gm. Słubice,lubuskie,15436,7785,7695,2433,5262
080601,gm. Dobiegniew,lubuskie,5491,2370,2331,958,1373
080602,gm. Drezdenko,lubuskie,13868,6726,6659,2952,3707
080603,gm. Stare Kurowo,lubuskie,3337,1453,1436,612,824
080604,gm. Strzelce Krajeńskie,lubuskie,13741,6110,6037,2067,3970
080605,gm. Zwierzyn,lubuskie,3488,1537,1518,675,843
080701,gm. Krzeszyce,lubuskie,3729,1726,1700,752,948
080702,gm. Lubniewice,lubuskie,2582,1245,1229,461,768
080703,gm. Słońsk,lubuskie,4165,1930,1900,827,1073
080704,gm. Sulęcin,lubuskie,13162,6563,6456,3106,3350
080705,gm. Torzym,lubuskie,5589,2386,2352,857,1495
080801,gm. Lubrza,lubuskie,2817,1314,1296,536,760
080802,gm. Łagów,lubuskie,4299,1929,1904,737,1167
080803,gm. Skąpe,lubuskie,4110,1853,1825,710,1115
080804,gm. Szczaniec,lubuskie,3078,1463,1445,733,712
080805,gm. Świebodzin,lubuskie,23332,11824,11667,4781,6886
080806,gm. Zbąszynek,lubuskie,6631,3642,3592,1200,2392
080901,gm. Babimost,lubuskie,4970,2535,2495,859,1636
080902,gm. Bojadła,lubuskie,2676,1228,1193,434,759
080903,gm. Czerwieńsk,lubuskie,7654,3618,3555,1360,2195
080904,gm. Kargowa,lubuskie,4635,2191,2168,701,1467
080905,gm. Nowogród Bobrzański,lubuskie,8143,3818,3748,1277,2471
080906,gm. Sulechów,lubuskie,20674,10216,10012,3882,6130
080907,gm. Świdnica,lubuskie,5063,2695,2662,890,1772
080908,gm. Trzebiechów,lubuskie,2627,1104,1077,413,664
080909,gm. Zabór,lubuskie,3151,1651,1630,551,1079
081001,m. Gozdnica,lubuskie,2659,1029,1007,465,542
081002,m. Żagań,lubuskie,20776,10636,10456,4040,6416
081003,gm. Brzeźnica,lubuskie,2981,1413,1391,703,688
081004,gm. Iłowa,lubuskie,5686,2506,2464,1063,1401
081005,gm. Małomice,lubuskie,4319,1864,1830,762,1068
081006,gm. Niegosławice,lubuskie,3589,1592,1560,914,646
081007,gm. Szprotawa,lubuskie,16871,7376,7271,3040,4231
081008,gm. Wymiarki,lubuskie,1906,764,756,370,386
081009,gm. Żagań,lubuskie,5966,2668,2593,1213,1380
081101,m. Łęknica,lubuskie,1976,851,838,300,538
081102,m. Żary,lubuskie,30320,15192,14982,6062,8920
081103,gm. Brody,lubuskie,2753,1105,1087,447,640
081104,gm. Jasień,lubuskie,5716,2314,2285,910,1375
081105,gm. Lipinki Łużyckie,lubuskie,2587,1084,1071,489,582
081106,gm. Lubsko,lubuskie,15227,6598,6494,2550,3944
081107,gm. Przewóz,lubuskie,2556,1115,1075,529,546
081108,gm. Trzebiel,lubuskie,4598,1990,1966,877,1089
081109,gm. Tuplice,lubuskie,2567,1015,1000,355,645
081110,gm. Żary,lubuskie,9568,4140,4098,1934,2164
081201,gm. Sława,lubuskie,9940,4676,4610,1982,2628
081202,gm. Szlichtyngowa,lubuskie,3972,1930,1912,1004,908
081203,gm. Wschowa,lubuskie,17006,8474,8361,3814,4547
086101,m. Gorzów Wielkopolski,lubuskie,96895,50680,49954,20363,29591
086201,m. Zielona Góra,lubuskie,106694,62158,61224,21643,39581
100101,m. Bełchatów,łódzkie,47814,28910,28385,19231,9154
100102,gm. Bełchatów,łódzkie,8663,5411,5333,4193,1140
100103,gm. Drużbice,łódzkie,4204,2353,2320,1699,621
100104,gm. Kleszczów,łódzkie,4136,2524,2484,1922,562
100105,gm. Kluki,łódzkie,3487,1984,1960,1534,426
100106,gm. Rusiec,łódzkie,4254,2553,2526,1830,696
100107,gm. Szczerców,łódzkie,6479,3895,3848,2908,940
100108,gm. Zelów,łódzkie,12097,6728,6618,4838,1780
100201,m. Kutno,łódzkie,37374,20855,20551,11007,9544
100202,gm. Bedlno,łódzkie,4690,2201,2178,1410,768
100203,gm. Dąbrowice,łódzkie,1638,801,786,576,210
100204,gm. Krośniewice,łódzkie,7107,3360,3316,2080,1236
100205,gm. Krzyżanów,łódzkie,3547,1740,1727,1159,568
100206,gm. Kutno,łódzkie,7001,3694,3634,2359,1275
100207,gm. Łanięta,łódzkie,1949,861,851,603,248
100208,gm. Nowe Ostrowy,łódzkie,2965,1339,1330,844,486
100209,gm. Oporów,łódzkie,2224,1144,1127,805,322
100210,gm. Strzelce,łódzkie,3295,1667,1646,1129,517
100211,gm. Żychlin,łódzkie,10267,4794,4727,2717,2010
100301,gm. Buczek,łódzkie,4148,2199,2181,1452,729
100302,gm. Łask,łódzkie,23050,12483,12242,6555,5687
100303,gm. Sędziejowice,łódzkie,5219,2884,2853,1931,922
100304,gm. Widawa,łódzkie,6419,3362,3329,2303,1026
100305,gm. Wodzierady,łódzkie,2730,1554,1534,875,659
100401,m. Łęczyca,łódzkie,11992,6461,6359,2834,3525
100402,gm. Daszyna,łódzkie,3343,1435,1409,968,441
100403,gm. Góra Świętej Małgorzaty,łódzkie,3615,1786,1774,1312,462
100404,gm. Grabów,łódzkie,5139,2449,2419,1630,789
100405,gm. Łęczyca,łódzkie,7938,3831,3780,2348,1432
100406,gm. Piątek,łódzkie,5091,2627,2599,1853,746
100407,gm. Świnice Warckie,łódzkie,3279,1620,1598,1017,581
100408,gm. Witonia,łódzkie,2777,1352,1334,918,416
100501,m. Łowicz,łódzkie,24216,13990,13745,7154,6591
100502,gm. Bielawy,łódzkie,4731,2417,2381,1524,857
100503,gm. Chąśno,łódzkie,2471,1281,1264,905,359
100504,gm. Domaniewice,łódzkie,3739,1941,1917,1366,551
100505,gm. Kiernozia,łódzkie,2892,1420,1405,968,437
100506,gm. Kocierzew Południowy,łódzkie,3531,1983,1939,1549,390
100507,gm. Łowicz,łódzkie,6110,3355,3307,2236,1071
100508,gm. Łyszkowice,łódzkie,5407,2692,2654,1914,740
100509,gm. Nieborów,łódzkie,7669,4470,4414,2956,1458
100510,gm. Zduny,łódzkie,4876,2487,2442,1530,912
100602,gm. Andrespol,łódzkie,10436,6593,6502,3266,3236
100603,gm. Brójce,łódzkie,4988,3207,3168,2037,1131
100607,gm. Koluszki,łódzkie,18906,11540,11375,6406,4969
100608,gm. Nowosolna,łódzkie,3646,2372,2334,1024,1310
100610,gm. Rzgów,łódzkie,7741,4976,4888,2862,2026
100611,gm. Tuszyn,łódzkie,10081,5708,5642,3167,2475
100701,gm. Białaczów,łódzkie,4781,2543,2509,1837,672
100702,gm. Drzewica,łódzkie,8788,5285,5206,3939,1267
100703,gm. Mniszków,łódzkie,3793,2176,2141,1703,438
100704,gm. Opoczno,łódzkie,27786,16942,16678,11504,5174
100705,gm. Paradyż,łódzkie,3544,2121,2079,1791,288
100706,gm. Poświętne,łódzkie,2791,1669,1653,1280,373
100707,gm. Sławno,łódzkie,5966,3594,3553,2823,730
100708,gm. Żarnów,łódzkie,5150,2817,2785,2170,615
100801,m. Konstantynów Łódzki,łódzkie,14504,8650,8497,3982,4515
100802,m. Pabianice,łódzkie,54631,31744,31243,14003,17240
100803,gm. Dłutów,łódzkie,3547,2057,2030,1284,746
100804,gm. Dobroń,łódzkie,6016,3483,3406,1833,1573
100805,gm. Ksawerów,łódzkie,6110,3793,3732,1740,1992
100806,gm. Lutomiersk,łódzkie,6374,3617,3576,1908,1668
100807,gm. Pabianice,łódzkie,5259,3322,3283,1866,1417
100901,gm. Działoszyn,łódzkie,10206,5375,5278,3172,2106
100902,gm. Kiełczygłów,łódzkie,3491,1919,1900,1481,419
100903,gm. Nowa Brzeźnica,łódzkie,3924,2022,1977,1407,570
100904,gm. Pajęczno,łódzkie,9591,5061,4984,3305,1679
100905,gm. Rząśnia,łódzkie,3890,2248,2228,1771,457
100906,gm. Siemkowice,łódzkie,4007,2001,1971,1390,581
100907,gm. Strzelce Wielkie,łódzkie,3857,2083,2045,1529,516
100908,gm. Sulmierzyce,łódzkie,3687,2231,2205,1677,528
101001,gm. Aleksandrów,łódzkie,3761,2103,2080,1560,520
101002,gm. Czarnocin,łódzkie,3279,1937,1915,1406,509
101003,gm. Gorzkowice,łódzkie,6855,3889,3839,3082,757
101004,gm. Grabica,łódzkie,4812,2714,2687,2022,665
101005,gm. Łęki Szlacheckie,łódzkie,2945,1449,1419,1073,346
101006,gm. Moszczenica,łódzkie,10225,5926,5803,4259,1544
101007,gm. Ręczno,łódzkie,3062,1629,1601,1120,481
101008,gm. Rozprza,łódzkie,9607,5362,5274,4011,1263
101009,gm. Sulejów,łódzkie,13096,7505,7399,5052,2347
101010,gm. Wola Krzysztoporska,łódzkie,9247,5450,5414,4447,967
101011,gm. Wolbórz,łódzkie,6289,3873,3811,2575,1236
101101,gm. Dalików,łódzkie,3132,1620,1596,951,645
101102,gm. Pęczniew,łódzkie,3000,1643,1627,1028,599
101103,gm. Poddębice,łódzkie,12962,6730,6632,3682,2950
101104,gm. Uniejów,łódzkie,6126,3215,3177,2006,1171
101105,gm. Wartkowice,łódzkie,5143,2427,2391,1512,879
101106,gm. Zadzim,łódzkie,4310,2300,2255,1374,881
101201,m. Radomsko,łódzkie,38453,21233,20916,11321,9595
101202,gm. Dobryszyce,łódzkie,3366,1760,1722,1129,593
101203,gm. Gidle,łódzkie,5283,2605,2584,1676,908
101204,gm. Gomunice,łódzkie,4757,2766,2731,1955,776
101205,gm. Kamieńsk,łódzkie,4891,2959,2935,2325,610
101206,gm. Kobiele Wielkie,łódzkie,3583,1769,1742,1117,625
101207,gm. Kodrąb,łódzkie,3854,1925,1909,1262,647
101208,gm. Lgota Wielka,łódzkie,3517,1978,1944,1397,547
101209,gm. Ładzice,łódzkie,3910,1883,1865,1165,700
101210,gm. Masłowice,łódzkie,3561,1774,1756,1236,520
101211,gm. Przedbórz,łódzkie,6197,3205,3164,2240,924
101212,gm. Radomsko,łódzkie,4495,2333,2298,1515,783
101213,gm. Wielgomłyny,łódzkie,3922,1907,1879,1326,553
101214,gm. Żytno,łódzkie,4521,2106,2080,1492,588
101301,m. Rawa Mazowiecka,łódzkie,14334,8194,8062,4558,3504
101302,gm. Biała Rawska,łódzkie,9291,4650,4599,3094,1505
101303,gm. Cielądz,łódzkie,3289,1703,1683,1278,405
101304,gm. Rawa Mazowiecka,łódzkie,6900,3572,3534,2574,960
101305,gm. Regnów,łódzkie,1510,753,745,555,190
101306,gm. Sadkowice,łódzkie,4542,2303,2275,1645,630
101401,m. Sieradz,łódzkie,35963,20466,20131,10000,10131
101402,gm. Błaszki,łódzkie,12012,5881,5785,3549,2236
101403,gm. Brąszewice,łódzkie,3526,1950,1936,1481,455
101404,gm. Brzeźnio,łódzkie,5042,2687,2641,1664,977
101405,gm. Burzenin,łódzkie,4500,2213,2184,1349,835
101406,gm. Goszczanów,łódzkie,4459,2118,2085,1367,718
101407,gm. Klonowa,łódzkie,2362,1141,1125,715,410
101408,gm. Sieradz,łódzkie,8098,4586,4531,3020,1511
101409,gm. Warta,łódzkie,10495,5343,5285,3597,1688
101410,gm. Wróblew,łódzkie,4903,2583,2554,1776,778
101411,gm. Złoczew,łódzkie,5865,3040,2981,2015,966
101501,gm. Bolimów,łódzkie,3232,1735,1706,1092,614
101502,gm. Głuchów,łódzkie,4684,3067,3035,2490,545
101503,gm. Godzianów,łódzkie,2081,1254,1238,983,255
101504,gm. Kowiesy,łódzkie,2462,1307,1289,829,460
101505,gm. Lipce Reymontowskie,łódzkie,2661,1506,1490,1111,379
101506,gm. Maków,łódzkie,4839,2742,2699,1921,778
101507,gm. Nowy Kawęczyn,łódzkie,2812,1505,1483,1043,440
101508,gm. Skierniewice,łódzkie,5811,3078,3049,2130,919
101509,gm. Słupia,łódzkie,2121,1223,1206,933,273
101601,m. Tomaszów Mazowiecki,łódzkie,51055,29231,28800,14235,14565
101602,gm. Będków,łódzkie,2786,1575,1548,1154,394
101603,gm. Budziszewice,łódzkie,1806,1047,1027,723,304
101604,gm. Czerniewice,łódzkie,4208,2178,2156,1573,583
101605,gm. Inowłódz,łódzkie,3269,1905,1878,1066,812
101606,gm. Lubochnia,łódzkie,5488,3320,3278,2388,890
101607,gm. Rokiciny,łódzkie,5082,2798,2745,1742,1003
101608,gm. Rzeczyca,łódzkie,3952,2245,2214,1682,532
101609,gm. Tomaszów Mazowiecki,łódzkie,8522,5043,4974,3196,1778
101610,gm. Ujazd,łódzkie,6340,3473,3415,2254,1161
101611,gm. Żelechlinek,łódzkie,2702,1541,1516,1114,402
101701,gm. Biała,łódzkie,4447,2308,2289,1448,841
101702,gm. Czarnożyły,łódzkie,3631,1908,1891,1215,676
101703,gm. Konopnica,łódzkie,3236,1773,1750,995,755
101704,gm. Mokrsko,łódzkie,4361,2431,2392,1452,940
101705,gm. Osjaków,łódzkie,3850,2153,2126,1483,643
101706,gm. Ostrówek,łódzkie,3616,1844,1808,1151,657
101707,gm. Pątnów,łódzkie,5218,2826,2806,2070,736
101708,gm. Skomlin,łódzkie,2688,1335,1315,749,566
101709,gm. Wieluń,łódzkie,26210,14379,14149,6903,7246
101710,gm. Wierzchlas,łódzkie,5401,2704,2668,1628,1040
101801,gm. Bolesławiec,łódzkie,3363,1763,1729,984,745
101802,gm. Czastary,łódzkie,3176,1502,1480,973,507
101803,gm. Galewice,łódzkie,5000,2464,2432,1435,997
101804,gm. Lututów,łódzkie,3702,1931,1898,1202,696
101805,gm. Łubnice,łódzkie,3354,1668,1632,919,713
101806,gm. Sokolniki,łódzkie,3946,1960,1928,1205,723
101807,gm. Wieruszów,łódzkie,11452,6326,6241,3121,3120
101901,m. Zduńska Wola,łódzkie,34566,19527,19214,9769,9445
101902,gm. Szadek,łódzkie,6072,3080,3044,1928,1116
101903,gm. Zapolice,łódzkie,4120,2208,2182,1306,876
101904,gm. Zduńska Wola,łódzkie,9300,5093,5027,3175,1852
102001,m. Głowno,łódzkie,12097,6633,6534,3083,3451
102002,m. Ozorków,łódzkie,16061,8497,8371,4266,4105
102003,m. Zgierz,łódzkie,46596,26951,26506,11992,14514
102004,gm. Aleksandrów Łódzki,łódzkie,23858,14492,14229,6534,7695
102005,gm. Głowno,łódzkie,3941,2041,2008,1391,617
102006,gm. Ozorków,łódzkie,5819,3406,3362,2036,1326
102007,gm. Parzęczew,łódzkie,4081,2229,2187,1243,944
102008,gm. Stryków,łódzkie,10035,5867,5801,2951,2850
102009,gm. Zgierz,łódzkie,10901,6764,6690,3550,3140
102101,m. Brzeziny,łódzkie,10252,5758,5662,3118,2544
102102,gm. Brzeziny,łódzkie,4379,2524,2479,1562,917
102103,gm. Dmosin,łódzkie,3755,2023,1991,1255,736
102104,gm. Jeżów,łódzkie,2792,1726,1697,1124,573
102105,gm. Rogów,łódzkie,3898,2254,2218,1415,803
106101,m. Łódź,łódzkie,562835,335514,330291,128818,201473
106201,m. Piotrków Trybunalski,łódzkie,60371,35201,34605,18256,16349
106301,m. Skierniewice,łódzkie,38644,23019,22631,11309,11322
120101,m. Bochnia,małopolskie,23449,14058,13870,8295,5575
120102,gm. Bochnia,małopolskie,15251,9042,8949,6537,2412
120103,gm. Drwinia,małopolskie,5116,3065,3030,2457,573
120104,gm. Lipnica Murowana,małopolskie,4376,2548,2528,1953,575
120105,gm. Łapanów,małopolskie,6138,3568,3527,2612,915
120106,gm. Nowy Wiśnicz,małopolskie,10766,6844,6784,5078,1706
120107,gm. Rzezawa,małopolskie,8597,5068,5027,3980,1047
120108,gm. Trzciana,małopolskie,4191,2806,2778,2216,562
120109,gm. Żegocina,małopolskie,4069,2864,2842,2452,390
120201,gm. Borzęcin,małopolskie,6682,3473,3434,2533,901
120202,gm. Brzesko,małopolskie,29174,16397,16198,10646,5552
120203,gm. Czchów,małopolskie,7528,4330,4285,3172,1113
120204,gm. Dębno,małopolskie,11281,6604,6510,4756,1754
120205,gm. Gnojnik,małopolskie,5975,3507,3471,2726,745
120206,gm. Iwkowa,małopolskie,4807,3002,2979,2429,550
120207,gm. Szczurowa,małopolskie,7721,3621,3588,2578,1010
120301,gm. Alwernia,małopolskie,10336,5928,5836,3526,2310
120302,gm. Babice,małopolskie,7372,4299,4235,2598,1637
120303,gm. Chrzanów,małopolskie,38602,21579,21245,9832,11413
120304,gm. Libiąż,małopolskie,18116,10386,10256,5878,4378
120305,gm. Trzebinia,małopolskie,27724,15622,15363,7626,7737
120401,gm. Bolesław,małopolskie,2336,933,921,734,187
120402,gm. Dąbrowa Tarnowska,małopolskie,17020,8689,8603,6621,1982
120403,gm. Gręboszów,małopolskie,2897,1353,1338,1013,325
120404,gm. Mędrzechów,małopolskie,2848,1352,1335,1004,331
120405,gm. Olesno,małopolskie,6252,3146,3117,2602,515
120406,gm. Radgoszcz,małopolskie,5764,3098,3064,2658,406
120407,gm. Szczucin,małopolskie,10635,5189,5132,3795,1337
120501,m. Gorlice,małopolskie,23288,12476,12319,7183,5136
120502,gm. Biecz,małopolskie,13650,7269,7195,5210,1985
120503,gm. Bobowa,małopolskie,7222,4208,4181,3272,909
120504,gm. Gorlice,małopolskie,13579,7442,7353,5255,2098
120505,gm. Lipinki,małopolskie,5453,3028,3005,2295,710
120506,gm. Łużna,małopolskie,6563,3576,3519,2496,1023
120507,gm. Moszczenica,małopolskie,3800,1968,1952,1597,355
120508,gm. Ropa,małopolskie,4023,2373,2356,1861,495
120509,gm. Sękowa,małopolskie,4021,2085,2067,1279,788
120510,gm. Uście Gorlickie,małopolskie,5444,2773,2736,1435,1301
120601,gm. Czernichów,małopolskie,11099,6426,6332,4188,2144
120602,gm. Igołomia-Wawrzeńczyce,małopolskie,6135,2855,2831,1915,916
120603,gm. Iwanowice,małopolskie,7057,4014,3970,2802,1168
120604,gm. Jerzmanowice-Przeginia,małopolskie,8671,5245,5177,3652,1525
120605,gm. Kocmyrzów-Luborzyca,małopolskie,11286,6432,6349,4152,2197
120606,gm. Krzeszowice,małopolskie,26198,15151,14929,8434,6495
120607,gm. Liszki,małopolskie,13019,7917,7838,5369,2469
120608,gm. Michałowice,małopolskie,7420,4582,4546,2630,1916
120609,gm. Mogilany,małopolskie,10153,6505,6417,3765,2652
120610,gm. Skała,małopolskie,8242,4757,4697,3047,1650
120611,gm. Skawina,małopolskie,33615,19716,19396,11755,7641
120612,gm. Słomniki,małopolskie,10920,6006,5943,4208,1735
120613,gm. Sułoszowa,małopolskie,4638,2909,2873,2208,665
120614,gm. Świątniki Górne,małopolskie,7641,4517,4460,2917,1543
120615,gm. Wielka Wieś,małopolskie,8613,5491,5424,3136,2288
120616,gm. Zabierzów,małopolskie,20092,13179,12966,6952,6014
120617,gm. Zielonki,małopolskie,15309,9985,9819,4911,4908
120701,m. Limanowa,małopolskie,12100,7503,7407,5191,2216
120702,m. Mszana Dolna,małopolskie,6094,3567,3524,2460,1064
120703,gm. Dobra,małopolskie,7587,4106,4070,3060,1010
120704,gm. Jodłownik,małopolskie,6541,3614,3575,2801,774
120705,gm. Kamienica,małopolskie,5798,3367,3342,2750,592
120706,gm. Laskowa,małopolskie,5832,3993,3960,3584,376
120707,gm. Limanowa,małopolskie,18526,11619,11539,9548,1991
120708,gm. Łukowica,małopolskie,7201,4489,4418,3586,832
120709,gm. Mszana Dolna,małopolskie,13008,7535,7491,6295,1196
120710,gm. Niedźwiedź,małopolskie,5378,2701,2677,2166,511
120711,gm. Słopnice,małopolskie,4521,2802,2780,2421,359
120712,gm. Tymbark,małopolskie,4893,3226,3189,2628,561
120801,gm. Charsznica,małopolskie,6219,3140,3106,2259,847
120802,gm. Gołcza,małopolskie,5092,2780,2754,2011,743
120803,gm. Kozłów,małopolskie,3977,1899,1880,1455,425
120804,gm. Książ Wielki,małopolskie,4358,2264,2238,1687,551
120805,gm. Miechów,małopolskie,16099,8691,8564,5426,3138
120806,gm. Racławice,małopolskie,2076,865,857,615,242
120807,gm. Słaboszów,małopolskie,3062,1319,1316,922,394
120901,gm. Dobczyce,małopolskie,11596,6990,6888,4852,2036
120902,gm. Lubień,małopolskie,7615,4507,4441,3560,881
120903,gm. Myślenice,małopolskie,33706,21061,20810,13936,6874
120904,gm. Pcim,małopolskie,8392,5363,5289,4178,1111
120905,gm. Raciechowice,małopolskie,4985,2689,2660,2015,645
120906,gm. Siepraw,małopolskie,6640,4036,3990,2885,1105
120907,gm. Sułkowice,małopolskie,11360,6452,6372,4552,1820
120908,gm. Tokarnia,małopolskie,6544,4057,3981,3160,821
120909,gm. Wiśniowa,małopolskie,5530,3421,3390,2692,698
121001,m. Grybów,małopolskie,4800,3087,3050,2364,686
121002,gm. Chełmiec,małopolskie,20559,13215,13076,10440,2636
121003,gm. Gródek nad Dunajcem,małopolskie,6913,3992,3953,3122,831
121004,gm. Grybów,małopolskie,18229,12194,12120,10443,1677
121005,gm. Kamionka Wielka,małopolskie,7472,4877,4816,3983,833
121006,gm. Korzenna,małopolskie,10706,6634,6579,5601,978
121007,gm. Krynica-Zdrój,małopolskie,14950,8743,8651,5180,3471
121008,gm. Łabowa,małopolskie,4182,2540,2513,2063,450
121009,gm. Łącko,małopolskie,12087,7352,7267,5886,1381
121010,gm. Łososina Dolna,małopolskie,7961,5235,5198,4523,675
121011,gm. Muszyna,małopolskie,9236,5249,5197,3513,1684
121012,gm. Nawojowa,małopolskie,6173,3830,3798,3105,693
121013,gm. Piwniczna-Zdrój,małopolskie,8450,4606,4539,3512,1027
121014,gm. Podegrodzie,małopolskie,9336,5915,5833,4850,983
121015,gm. Rytro,małopolskie,2979,1761,1734,1428,306
121016,gm. Stary Sącz,małopolskie,17857,10987,10915,8589,2326
121101,m. Nowy Targ,małopolskie,26751,14408,14228,8154,6074
121102,gm. Szczawnica,małopolskie,6349,3332,3288,1779,1509
121103,gm. Czarny Dunajec,małopolskie,17174,7569,7494,5860,1634
121104,gm. Czorsztyn,małopolskie,5886,2939,2913,1831,1082
121105,gm. Jabłonka,małopolskie,13815,7853,7653,6529,1124
121106,gm. Krościenko nad Dunajcem,małopolskie,5595,3119,3083,2136,947
121107,gm. Lipnica Wielka,małopolskie,4459,2534,2511,2032,479
121108,gm. Łapsze Niżne,małopolskie,7150,3521,3487,2417,1070
121109,gm. Nowy Targ,małopolskie,18116,9377,9255,6680,2575
121110,gm. Ochotnica Dolna,małopolskie,6365,3630,3608,2980,628
121111,gm. Raba Wyżna,małopolskie,11122,5878,5820,4364,1456
121112,gm. Rabka-Zdrój,małopolskie,14126,8252,8150,5715,2435
121113,gm. Spytkowice,małopolskie,3353,1746,1724,1370,354
121114,gm. Szaflary,małopolskie,8271,3601,3581,2919,662
121201,m. Bukowno,małopolskie,8536,4642,4548,2391,2157
121203,gm. Bolesław,małopolskie,6573,3417,3364,1713,1651
121204,gm. Klucze,małopolskie,12546,7113,6983,3686,3297
121205,gm. Olkusz,małopolskie,39971,23605,23207,13701,9506
121206,gm. Trzyciąż,małopolskie,5678,3174,3138,2453,685
121207,gm. Wolbrom,małopolskie,18817,10540,10425,7243,3182
121301,m. Oświęcim,małopolskie,31811,18535,18304,8514,9790
121302,gm. Brzeszcze,małopolskie,17282,10495,10333,5997,4336
121303,gm. Chełmek,małopolskie,10363,6000,5933,3182,2751
121304,gm. Kęty,małopolskie,26887,15988,15773,9040,6733
121305,gm. Osiek,małopolskie,6467,3702,3661,2376,1285
121306,gm. Oświęcim,małopolskie,14488,9053,8915,5088,3827
121307,gm. Polanka Wielka,małopolskie,3402,2046,1998,1232,766
121308,gm. Przeciszów,małopolskie,5446,3085,2991,1786,1205
121309,gm. Zator,małopolskie,7522,4490,4404,2580,1824
121401,gm. Koniusza,małopolskie,6999,3474,3433,2434,999
121402,gm. Koszyce,małopolskie,4656,2024,1997,1382,615
121403,gm. Nowe Brzesko,małopolskie,4677,2509,2446,1730,716
121404,gm. Pałecznica,małopolskie,2897,1368,1354,973,381
121405,gm. Proszowice,małopolskie,13468,6773,6701,4369,2332
121406,gm. Radziemice,małopolskie,2783,1365,1347,976,371
121501,m. Jordanów,małopolskie,4171,2421,2383,1462,921
121502,m. Sucha Beskidzka,małopolskie,7953,4390,4348,2426,1922
121503,gm. Budzów,małopolskie,6657,3581,3544,2594,950
121504,gm. Bystra-Sidzina,małopolskie,5156,2705,2604,2006,598
121505,gm. Jordanów,małopolskie,8385,4768,4718,3665,1053
121506,gm. Maków Podhalański,małopolskie,12941,7477,7423,5213,2210
121507,gm. Stryszawa,małopolskie,9531,5633,5554,3895,1659
121508,gm. Zawoja,małopolskie,7282,4014,3968,2630,1338
121509,gm. Zembrzyce,małopolskie,4456,2568,2549,1626,923
121601,gm. Ciężkowice,małopolskie,8894,4828,4790,3475,1315
121602,gm. Gromnik,małopolskie,6760,3760,3730,3125,605
121603,gm. Lisia Góra,małopolskie,11326,6527,6460,5090,1370
121604,gm. Pleśna,małopolskie,9353,5194,5134,3782,1352
121605,gm. Radłów,małopolskie,7836,4072,4015,3056,959
121606,gm. Ryglice,małopolskie,9141,4925,4870,3815,1055
121607,gm. Rzepiennik Strzyżewski,małopolskie,5371,3105,3079,2456,623
121608,gm. Skrzyszów,małopolskie,10847,6273,6190,4662,1528
121609,gm. Tarnów,małopolskie,19538,11655,11529,8172,3357
121610,gm. Tuchów,małopolskie,14136,8073,8023,6150,1873
121611,gm. Wierzchosławice,małopolskie,8482,5091,5025,3594,1431
121612,gm. Wietrzychowice,małopolskie,3258,1523,1490,986,504
121613,gm. Wojnicz,małopolskie,10450,5868,5800,4350,1450
121614,gm. Zakliczyn,małopolskie,9628,5312,5255,3903,1352
121615,gm. Żabno,małopolskie,15077,7909,7835,5814,2021
121616,gm. Szerzyny,małopolskie,6354,3571,3535,2817,718
121701,m. Zakopane,małopolskie,23691,14101,13947,7527,6420
121702,gm. Biały Dunajec,małopolskie,5537,2758,2737,2248,489
121703,gm. Bukowina Tatrzańska,małopolskie,10229,5442,5391,4221,1170
121704,gm. Kościelisko,małopolskie,6695,3400,3370,2303,1067
121705,gm. Poronin,małopolskie,8893,4609,4571,3260,1311
121801,gm. Andrychów,małopolskie,34757,20773,20453,12347,8106
121802,gm. Brzeźnica,małopolskie,7967,4333,4256,2627,1629
121803,gm. Kalwaria Zebrzydowska,małopolskie,15722,9191,9003,5436,3567
121804,gm. Lanckorona,małopolskie,4757,2454,2358,1467,891
121805,gm. Mucharz,małopolskie,3162,1879,1863,1119,744
121806,gm. Spytkowice,małopolskie,8075,4509,4467,2958,1509
121807,gm. Stryszów,małopolskie,5379,2953,2907,1800,1107
121808,gm. Tomice,małopolskie,5989,3343,3310,1910,1400
121809,gm. Wadowice,małopolskie,30526,17560,17331,9450,7881
121810,gm. Wieprz,małopolskie,9312,5620,5552,3677,1875
121901,gm. Biskupice,małopolskie,7444,4548,4497,3197,1300
121902,gm. Gdów,małopolskie,13541,7927,7819,5480,2339
121903,gm. Kłaj,małopolskie,8340,4893,4842,2859,1983
121904,gm. Niepołomice,małopolskie,20186,12083,11935,7096,4839
121905,gm. Wieliczka,małopolskie,42831,25851,25516,14285,11231
126101,m. Kraków,małopolskie,596651,378687,373236,176990,196246
126201,m. Nowy Sącz,małopolskie,65657,40375,39910,24916,14994
126301,m. Tarnów,małopolskie,91528,51330,50470,28025,22445
140101,gm. Białobrzegi,mazowieckie,8471,4939,4878,3048,1830
140102,gm. Promna,mazowieckie,4574,2494,2467,1710,757
140103,gm. Radzanów,mazowieckie,3052,1692,1676,1350,326
140104,gm. Stara Błotnica,mazowieckie,4129,2378,2350,1932,418
140105,gm. Stromiec,mazowieckie,4448,2322,2273,1818,455
140106,gm. Wyśmierzyce,mazowieckie,2420,1394,1381,1160,221
140201,m. Ciechanów,mazowieckie,36421,19855,19585,10405,9180
140202,gm. Ciechanów,mazowieckie,5445,2573,2540,1475,1065
